sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2645144;covecenterforrecovery.com;2;2;Health;34;;;5;
2645145;addictions.com;2;2;Health;34;;;5;
2645146;therooster.com;2;2;Adult;1;;;5;
2645147;shutterstock.com;2;2;Computer;13;;;5;
2645148;cheatsheet.com;2;2;Sports;44;;;5;
2645149;shop.cleanu.de;3;2;Drugs;37;;;5;
2645150;chiangmaicitylife.com;2;2;Travel;29;;;5;
2645151;irishtimes.com;2;2;News;21;;;5;
2645152;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645153;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645154;emoryspoke.org;2;2;News;21;;;5;
2645155;pattayadailynews.com;2;2;News;21;;;5;
2645156;123rf.com;2;2;Computer;13;;;5;
2645157;gazetteseries.co.uk;3;2;News;21;;;5;
2645158;southwalesargus.co.uk;3;2;News;21;;;5;
2645159;therealcape.com;2;2;Adult;1;;;5;
2645160;2static.fjcdn.com;3;2;Adult;1;;;5;
2645161;irishexaminer.com;2;2;News;21;;;5;
